circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,GULMOHAR & DUBE COLONY,EV CHARGING STATIONS,9,1,1.0,9633,54.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,VIVEKNAGAR,EV CHARGING STATIONS,9,4,4.0,5817,167.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,"ADITYA,PRAKASH NAGAR",EV CHARGING STATIONS,9,1,1.0,6687,22.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,CHANDANAGAR-HV,EV CHARGING STATIONS,9,1,1.0,3129,22.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADEENAGUDA,EV CHARGING STATIONS,9,1,,0,53.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NALLAGADLA HV,EV CHARGING STATIONS,9,6,6.0,74780,415.0
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,HV,EV CHARGING STATIONS,9,2,2.0,8046,108.0
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,KPHB COLONY,EV CHARGING STATIONS,9,2,2.0,6041,108.0
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,MIG,EV CHARGING STATIONS,9,1,1.0,1210,8.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,SAIKRUPA APPARTMENTS,EV CHARGING STATIONS,9,1,1.0,850,11.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,CT METERS,EV CHARGING STATIONS,9,2,2.0,20591,114.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MIYAPUR HV,EV CHARGING STATIONS,9,2,2.0,24996,98.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR GOVT,EV CHARGING STATIONS,9,3,3.0,42140,161.0
GADWAL,GADWAL,ALAMPUR X ROAD,UNDAVELLY,A.PURCHOWRASTA,EV CHARGING STATIONS,9,3,3.0,8593,131.0
GADWAL,GADWAL,ALAMPUR X ROAD,UNDAVELLY,UNDAVELLY,EV CHARGING STATIONS,9,1,1.0,9,30.0
GADWAL,GADWAL,ALAMPUR X ROAD,ITIKYAL(ERRAVALLY),PUTANDODDI,EV CHARGING STATIONS,9,1,1.0,5,25.0
GADWAL,GADWAL,ALAMPUR X ROAD,ITIKYAL(ERRAVALLY),VEMULA,EV CHARGING STATIONS,9,1,1.0,2247,50.0
GADWAL,GADWAL,ALAMPUR X ROAD,MANOPAAD,JALLAPOOR,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,MEDIPALLY CT METER SERVICES,EV CHARGING STATIONS,9,1,1.0,10437,70.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,NARAPALLY CT METER SERVICES,EV CHARGING STATIONS,9,3,2.0,0,162.0
HABSIGUDA,KEESARA,KEESARA,NAGARAM,NAGARAM,EV CHARGING STATIONS,9,1,,0,15.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,HV NON CT AND CT METERS,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,HIGH VALUE -1,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,HIGH VALUE -2,EV CHARGING STATIONS,9,2,2.0,35,108.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,KEESARA VILLAGE,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,KEESARA,GHATKESAR,MEDIPALLY,HV CT METERS C.C & MEDIPALLY,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,EV CHARGING STATIONS,9,1,1.0,341,54.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,SRINIVASA SCHOOL,EV CHARGING STATIONS,9,1,1.0,6317,20.8
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,STREET LIGHTS & PWS,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,CT METERS DOMESTIC AREA,EV CHARGING STATIONS,9,2,2.0,0,108.0
HABSIGUDA,HABSIGUDA,UPPAL,RAMANTHAPUR,RAMANTHAPUR,EV CHARGING STATIONS,9,3,3.0,87,162.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,IDA NACHARAM,EV CHARGING STATIONS,9,3,3.0,2040,56.65
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,NACHARAM HV CT METERS,EV CHARGING STATIONS,9,2,2.0,0,69.0
HABSIGUDA,HABSIGUDA,UPPAL,UPPAL,PRASHANTH NAGAR,EV CHARGING STATIONS,9,1,1.0,6968,54.0
HABSIGUDA,HABSIGUDA,UPPAL,BODUPPAL,HV LI  VENUGOPAL,EV CHARGING STATIONS,9,1,1.0,203,54.0
HABSIGUDA,HABSIGUDA,UPPAL,UPPAL,UPPAL,EV CHARGING STATIONS,9,2,2.0,8595,117.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,HABSIGUDA,HBG (CTM),EV CHARGING STATIONS,9,1,1.0,23,54.0
HABSIGUDA,HABSIGUDA,UPPAL,UPPAL BAGAYATH,HV BAGAYATH,EV CHARGING STATIONS,9,1,1.0,1,54.0
HABSIGUDA,HABSIGUDA,UPPAL,UPPAL BAGAYATH,HV CT METERS,EV CHARGING STATIONS,9,2,2.0,5106,108.0
HABSIGUDA,HABSIGUDA,UPPAL,UPPAL BAGAYATH,HV IDA UPPAL,EV CHARGING STATIONS,9,2,2.0,4601,83.92
HABSIGUDA,HABSIGUDA,UPPAL,CHILKANAGAR,CT METERS,EV CHARGING STATIONS,9,3,3.0,6529,162.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,IDA MALLAPUR LT,EV CHARGING STATIONS,9,1,1.0,3177,17.0
HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,LT/HT SERVICES MALLAPUR,EV CHARGING STATIONS,9,1,1.0,1444,54.0
HABSIGUDA,SAINIKPURI,CHERLAPALLY,CHERLAPALLY-II,PHASE-II(2) KRUPP,EV CHARGING STATIONS,9,1,1.0,741,63.0
HABSIGUDA,SAINIKPURI,CHERLAPALLY,CHERLAPALLY-II,PHASE-IIA (6) OFFICE BACK SIDE,EV CHARGING STATIONS,9,1,1.0,0,54.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,SAINIKPURI,SRINIVAS NAGAR 2,EV CHARGING STATIONS,9,1,1.0,761,2.0
HABSIGUDA,SAINIKPURI,MALKAJGIRI,MALKAJGIRI,HV (CT METER),EV CHARGING STATIONS,9,1,1.0,12385,53.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,OLD MOULALI,EV CHARGING STATIONS,9,1,1.0,10021,15.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,KUSHAIGUDA, HV / HV,EV CHARGING STATIONS,9,1,1.0,1202,54.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,SADULLA NAGAR,EV CHARGING STATIONS,9,1,,0,5.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,UPPERGUDA,EV CHARGING STATIONS,9,2,2.0,0,4.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,YAPRAL,JJ NAGAR VAMPUGUDA-CT METERS,EV CHARGING STATIONS,9,4,4.0,17407,173.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,YAPRAL,KOWKOOR NON CT SERVICES,EV CHARGING STATIONS,9,1,1.0,1152,14.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,YAPRAL,KOWKOOR PEDSO HKT-CT METERS,EV CHARGING STATIONS,9,1,1.0,4885,50.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,KUSHAIGUDA,JAMMIIGADDA HV,EV CHARGING STATIONS,9,1,1.0,43,54.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,YAPRAL,MAITHRI V.GUDA NON CT SERVICES,EV CHARGING STATIONS,9,2,2.0,8717,35.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K PURAM,EV CHARGING STATIONS,9,1,1.0,13491,53.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,A S RAO NAGAR,ASRAO NAGAR (HV),EV CHARGING STATIONS,9,1,1.0,8076,54.0
HABSIGUDA,SAINIKPURI,SAINIKPURI,YAPRAL,YAPRAL NON-CT SERVICES,EV CHARGING STATIONS,9,1,1.0,279,54.0
