Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KARIMNAGAR,KARIMNAGAR,Karimnagar Rural,KOTHAPALLY,SALEHNAGAR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,6152.0,50.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,NARAYANAPURAM-B,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,49.0,60.0
MULUGU,MULUGU,MULUGU,MALLAMPALLY,MALLAMPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,97.0,120.0
NIRMAL,BHAINSA,BHAINSA,BHAINSA - TOWN,NIRMAL ROAD AREA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,116.0,50.0
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,MANCHUKONDA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,30.0
MAHABUBABAD,MAHABUBABAD,MAHABUBABAD(T),MAHABUBABAD (TOWN),NON SLB,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1677.0,30.0
MAHABUBABAD,MAHABUBABAD,MAHABUBABAD(T),MAHABUBABAD (TOWN),NSPT ROAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,48.0,120.0
MAHABUBABAD,THORRUR,THORRUR,CHINNAVANGARA,VELIKATTA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,83.0,120.0
NIRMAL,NIRMAL,NIRMAL,SOAN,KADTHAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,64.0,120.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Rural,MUQUDUMPUR,MOQDUMPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,4162.0,50.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Town,KRN TOWN 1,DOCTOR STREET,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,54.0
NIRMAL,NIRMAL,NIRMAL,SOAN,SOAN,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1412.0,50.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,CHINA VENKATAGIRI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,7685.0,60.0
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),DUBBA THANDA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1786.0,50.0
MULUGU,MULUGU,MULUGU,MULUGU,MULUGU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,155.0,120.0
NIRMAL,BHAINSA,BHAINSA,KALLUR,KALLUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,120.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Town,KRN TOWN 3,VAVILALA PALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,996.0,54.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,GURRALAPADU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,8914.0,50.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,MADDULAPALLI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,20871.0,120.0
MAHABUBABAD,THORRUR,MARIPEDA,MARIPEDA,MARIPEDA TOWN 2,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,687.0,80.0
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,BHEEMARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,29.0,54.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Town,KRN TOWN 8,HOUSING BOARD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,7110.0,63.0
MANCHERIAL,MANCHERIAL,CHENNUR,CHENNUR,BHEEMRAOPET,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,107.0,50.0
