discom,circle,division,subdivision,section,area,units_2025,units_2026,growth_units,growth_percent,total_units,total_load,total_services,months_observed,unit_per_reported_load,consumption_percentile,load_percentile,demand_load_gap,priority_category,growth_score,gap_score,combined_score
TGSPDCL,HYDERABAD SOUTH,CHARMINAR,CHARMINAR,HUSSAINI ALAM,GRC,27083.0,57788.0,30705.0,113.37370306096075,107337.0,473.0,29,29,226.92811839323468,0.8367697594501718,0.14776632302405499,0.6890034364261168,Priority Investigation,50.0,88.70967741935483,69.35483870967741
TGSPDCL,SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,MIG HV,38939.0,91598.0,52659.0,135.23459770410128,172820.0,1404.0,26,21,123.09116809116809,0.9192439862542955,0.7130584192439863,0.2061855670103092,Priority Investigation,75.80645161290323,54.83870967741935,65.3225806451613
TGSPDCL,SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ROCK TOWN-II,27375.0,80955.0,53580.0,195.72602739726028,124588.0,1296.0,24,24,96.13271604938272,0.8711340206185567,0.6683848797250859,0.20274914089347085,Priority Investigation,77.41935483870968,53.2258064516129,65.32258064516128
TGSPDCL,NALGONDA,NALGONDA,NALGONDA RURAL,NARKETPALLY,GOPALAIPALLY,52424.0,103936.0,51512.0,98.26033877613307,231303.0,1620.0,30,30,142.77962962962962,0.9536082474226805,0.7474226804123711,0.20618556701030932,Priority Investigation,72.58064516129032,56.451612903225815,64.51612903225806
TGSPDCL,CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,RAGHAVENDRA CLNY,5966.0,30285.0,24319.0,407.6265504525646,46526.0,207.0,23,23,224.76328502415458,0.6632302405498282,0.06357388316151202,0.5996563573883161,Priority Investigation,45.16129032258064,82.25806451612904,63.70967741935484
TGSPDCL,MEDCHAL,KUKATPALLY,KUKATPALLY,KUKATPALLY,HVCT KKP,14475.0,50007.0,35532.0,245.47150259067357,82244.0,1000.0,20,20,82.244,0.7766323024054983,0.5352233676975945,0.2414089347079038,Priority Investigation,66.12903225806451,59.67741935483871,62.903225806451616
TGSPDCL,HABSIGUDA,HABSIGUDA,HABSIGUDA,MALLAPUR,SRINIVASA SCHOOL,22129.0,45803.0,23674.0,106.98178860319038,99744.0,522.8,35,35,190.78806426931908,0.8178694158075601,0.1563573883161512,0.6615120274914089,Priority Investigation,41.935483870967744,83.87096774193549,62.903225806451616
TGSPDCL,SECUNDERABAD,BOWENPALLY,BOWENPALLY,NEW BOWENPALLY,BORE-ST-GRC(AGL) (GRP-M),32685.0,49991.0,17306.0,52.94783539850084,123049.0,375.0,25,25,328.1306666666667,0.865979381443299,0.1254295532646048,0.7405498281786942,Priority Investigation,25.806451612903224,96.7741935483871,61.29032258064517
TGSPDCL,CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV-3,82505.0,271815.0,189310.0,229.4527604387613,422067.0,2789.0,49,29,151.3327357475798,0.9828178694158075,0.9261168384879725,0.05670103092783496,Priority Investigation,93.54838709677419,29.03225806451613,61.29032258064516
TGSPDCL,SECUNDERABAD,SECUNDERABAD,MAREDPALLY,GYMKHANA,CT METERS (GRP-M),23473.0,80649.0,57176.0,243.58198781578838,132249.0,1716.0,38,24,77.06818181818181,0.8831615120274914,0.7680412371134021,0.11512027491408927,Priority Investigation,79.03225806451613,43.54838709677419,61.29032258064516
TGSPDCL,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,9633.0,218311.0,208678.0,2166.2825703311532,233493.0,2586.0,48,21,90.29118329466357,0.9553264604810997,0.9054982817869416,0.04982817869415812,Priority Investigation,95.16129032258065,25.806451612903224,60.483870967741936
TGSPDCL,BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,57538.0,196303.0,138765.0,241.17105217421528,462861.0,2902.0,54,40,159.4972432804962,0.9914089347079038,0.9347079037800687,0.05670103092783507,Priority Investigation,90.32258064516128,30.64516129032258,60.48387096774193
TGSPDCL,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,30995.0,88749.0,57754.0,186.33327956121954,162363.0,1905.0,35,20,85.22992125984251,0.9054982817869416,0.8230240549828178,0.08247422680412375,Priority Investigation,80.64516129032258,37.096774193548384,58.87096774193548
TGSPDCL,HYDERABAD SOUTH,CHARMINAR,FALAKNUMA,CHATRINAKA,GRC,7620.0,31291.0,23671.0,310.64304461942254,46279.0,348.0,29,29,132.98563218390805,0.6580756013745704,0.11426116838487972,0.5438144329896907,Priority Investigation,40.32258064516129,75.80645161290323,58.064516129032256
TGSPDCL,SECUNDERABAD,PARADISE,PADMA RAO NAGAR,PADMARAO NAGAR,C T METERS,10665.0,43978.0,33313.0,312.35818096577594,68268.0,1080.0,20,20,63.21111111111111,0.7491408934707904,0.5816151202749141,0.16752577319587625,Priority Investigation,59.67741935483871,50.0,54.83870967741936
TGSPDCL,SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,R.S.S.GROUNDS,27233.0,61438.0,34205.0,125.6012925494804,130275.0,1674.0,31,31,77.8225806451613,0.8780068728522337,0.7577319587628866,0.1202749140893471,Priority Investigation,62.903225806451616,45.16129032258064,54.03225806451613
TGSPDCL,HABSIGUDA,SAINIKPURI,SAINIKPURI,YAPRAL,MAITHRI V.GUDA NON CT SERVICES,38425.0,53832.0,15407.0,40.096291476903055,113759.0,641.0,39,21,177.4711388455538,0.8470790378006873,0.18384879725085912,0.6632302405498282,Priority Investigation,20.967741935483872,85.48387096774194,53.225806451612904
TGSPDCL,HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,GRC HV SURYA NAGAR,52006.0,62898.0,10892.0,20.94373726108526,184541.0,579.0,34,34,318.7236614853195,0.9261168384879725,0.1718213058419244,0.7542955326460481,Priority Investigation,4.838709677419355,100.0,52.41935483870968
TGSPDCL,HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,GRC CT METERS,27387.0,61147.0,33760.0,123.27016467667143,146945.0,1782.0,33,33,82.46071829405163,0.8934707903780069,0.7903780068728522,0.10309278350515472,Priority Investigation,61.29032258064516,41.935483870967744,51.61290322580645
TGSPDCL,SECUNDERABAD,BOWENPALLY,BALANAGAR,FEROZEGUDA,C.T.METER  GRC (GRP-M),93467.0,309977.0,216510.0,231.64325376870983,485243.0,4010.0,65,32,121.00822942643391,0.993127147766323,0.9828178694158075,0.010309278350515538,Priority Investigation,96.7741935483871,4.838709677419355,50.80645161290323
TGSPDCL,BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,82707.0,348692.0,265985.0,321.5991391296988,548162.0,4317.0,78,35,126.97753069261061,0.9965635738831615,0.9896907216494846,0.0068728522336769515,Priority Investigation,98.38709677419355,1.6129032258064515,50.0
TGSPDCL,SECUNDERABAD,PARADISE,PADMA RAO NAGAR,TARNAKA,RAVINDERA NAGAR NORTH,8441.0,23967.0,15526.0,183.9355526596375,44277.0,284.0,32,32,155.9049295774648,0.6460481099656358,0.09278350515463918,0.5532646048109966,Priority Investigation,22.58064516129032,77.41935483870968,50.0
TGSPDCL,HYDERABAD CENTRAL,SAIFABAD,SAIFABAD,SOMAJIGUDA,KAPADIA LANE,7861.0,27704.0,19843.0,252.42335580714922,107261.0,968.0,44,44,110.80681818181819,0.8350515463917526,0.49742268041237114,0.33762886597938147,Priority Investigation,30.64516129032258,67.74193548387096,49.19354838709677
TGSPDCL,HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,CT METER,17866.0,58707.0,40841.0,228.59621627672672,108672.0,1782.0,33,33,60.98316498316498,0.8419243986254296,0.7903780068728522,0.05154639175257736,Priority Investigation,69.35483870967742,27.419354838709676,48.38709677419355
TGSPDCL,CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"H.V AYYAPPA,GURUKUL,THANDA",1162.0,18894.0,17732.0,1525.9896729776249,22346.0,345.0,23,23,64.77101449275362,0.4965635738831615,0.11168384879725086,0.3848797250859107,Priority Investigation,27.419354838709676,69.35483870967742,48.38709677419355
TGSPDCL,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MIYAPUR HV,42453.0,167894.0,125441.0,295.4820625161944,338245.0,3329.0,70,37,101.60558726344247,0.9776632302405498,0.9570446735395189,0.020618556701030855,Priority Investigation,87.09677419354838,9.67741935483871,48.387096774193544
TGSPDCL,HYDERABAD SOUTH,CHARMINAR,FALAKNUMA,FALAKNUMA,GRC,12599.0,26952.0,14353.0,113.92173982062069,48870.0,348.0,29,29,140.43103448275863,0.6804123711340206,0.11426116838487972,0.5661512027491409,Priority Investigation,16.129032258064516,79.03225806451613,47.58064516129032
TGSPDCL,MEDCHAL,MEDCHAL,QUTBULLAPUR,KOMPALLY,AMR ROAD CENTRAL PARK,9022.0,33166.0,24144.0,267.6125027710042,113892.0,1352.0,44,44,84.2396449704142,0.8505154639175257,0.7010309278350515,0.14948453608247425,Priority Investigation,43.54838709677419,48.38709677419355,45.96774193548387
TGSPDCL,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,LAKSHMI NAGAR,7948.0,20916.0,12968.0,163.16054353296428,39378.0,147.0,21,21,267.8775510204082,0.6237113402061856,0.037800687285223365,0.5859106529209622,Priority Investigation,11.29032258064516,80.64516129032258,45.96774193548387
TGSPDCL,CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,GACHIBOWLI,42972.0,85353.0,42381.0,98.62468584194359,221552.0,2672.0,50,36,82.91616766467065,0.9450171821305842,0.9140893470790378,0.030927835051546393,Priority Investigation,70.96774193548387,19.35483870967742,45.16129032258065
TGSPDCL,HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,SHAIKPET,GRC CT METERS,135066.0,193542.0,58476.0,43.294389409621964,433589.0,3462.0,66,25,125.2423454650491,0.9845360824742269,0.9673539518900344,0.01718213058419249,Priority Investigation,82.25806451612904,7.258064516129033,44.75806451612904
